image url,id,likes,num comments,shares,likes + comment /shares
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11376196_845721028857753_478064658_n.jpg,1017027910602318835_1555051783,1320,38,33,41.15151515151515
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11378518_409355299249167_317737620_n.jpg,1016264831958507781_1555051783,1128,25,16,72.0625
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11385574_1669388406624273_1633853165_n.jpg,1014038148484424007_1555051783,1005,29,23,44.95652173913044
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11378517_1621201674793034_1231770787_n.jpg,1011552403328852185_1555051783,896,4,4,225.0
https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11421947_693669300762486_498691016_n.jpg,1010380545283842192_1555051783,1121,32,28,41.17857142857143
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11378541_976099362434154_685649353_n.jpg,1008197990400910063_1555051783,1250,23,19,67.0
https://scontent.cdninstagram.com/hphotos-xpf1/t51.2885-15/e15/10958480_862050467176497_1718791902_n.jpg,1006435594980287186_1555051783,1118,5,5,224.6
https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11330816_1583135875271113_1253311278_n.jpg,1003880243252683667_1555051783,1335,32,30,45.56666666666667
https://scontent.cdninstagram.com/hphotos-xaf1/l/t51.2885-15/e15/11357596_675346155930363_1720763822_n.jpg,1002800961499685460_1555051783,1067,16,12,90.25
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11373621_1415352595457162_1735471551_n.jpg,1000998325867766242_1555051783,1272,14,12,107.16666666666667
https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11353016_784059828382247_704930767_n.jpg,999175133188579487_1555051783,1224,23,16,77.9375
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11272387_382143241971615_1844114668_n.jpg,998127400092688459_1555051783,1404,46,29,50.0
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11385100_711121412350132_268615551_n.jpg,997406446421009222_1555051783,1399,44,31,46.54838709677419
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11380987_1456725204621630_2146534217_n.jpg,995955576210710802_1555051783,1588,118,109,15.65137614678899
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11355151_883369311730122_647028473_n.jpg,993733405732233347_1555051783,1342,47,41,33.8780487804878
https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11327201_842029572556368_1079706631_n.jpg,992742213372600999_1555051783,1117,22,18,63.27777777777778
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11330751_480667645422305_1688799309_n.jpg,991432591122621123_1555051783,994,7,5,200.2
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11326225_383345515202574_473848424_n.jpg,990084158885454625_1555051783,1219,70,71,18.154929577464788
https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11313647_1655529161345772_1709690127_n.jpg,989360381448938375_1555051783,1075,20,17,64.41176470588235
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11326306_1582656418652597_1224936035_n.jpg,988573261843129339_1555051783,1314,42,37,36.648648648648646
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11311102_1611685222435242_1457968983_n.jpg,986533946610934569_1555051783,1420,53,43,34.25581395348837
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11244636_1569699189972458_1553001086_n.jpg,985739907175277244_1555051783,1050,4,1,1054.0
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11272917_1574496919467268_175854325_n.jpg,985019660503868205_1555051783,1176,30,23,52.43478260869565
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11256357_1579424902325700_1901275501_n.jpg,984279250504507975_1555051783,1312,48,38,35.78947368421053
https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11232584_802619309833561_617278769_n.jpg,983563792763576941_1555051783,1084,30,29,38.41379310344828
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11241999_365716380285603_1695450275_n.jpg,982916889042477199_1555051783,1242,19,15,84.06666666666666
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11246634_626795087456368_1394505312_n.jpg,982090499518882728_1555051783,1282,33,25,52.6
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11226753_501715236649272_70246728_n.jpg,981198697031000477_1555051783,1384,34,29,48.89655172413793
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11244826_634004273410920_510020084_n.jpg,980641902277419129_1555051783,1605,42,36,45.75
https://scontent.cdninstagram.com/hphotos-xpa1/t51.2885-15/e15/11199482_480829182082613_1591962433_n.jpg,979380150306857418_1555051783,1457,33,23,64.78260869565217
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11203023_1430559617248721_1037702863_n.jpg,978510735923208721_1555051783,854,21,16,54.6875
https://scontent.cdninstagram.com/hphotos-xft1/t51.2885-15/e15/11189668_842458292500381_1408943479_n.jpg,977825033044616169_1555051783,1206,27,20,61.65
https://scontent.cdninstagram.com/hphotos-xap1/t51.2885-15/e15/11189364_455117191303608_2040906995_n.jpg,976984178188607655_1555051783,1118,53,43,27.232558139534884
