image url,id,likes,num comments,shares,likes + comment /shares
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11377803_1612764522298035_18900782_n.jpg,1017471301931653244_1323054757,4082,49,43,96.06976744186046
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11333644_472149042952263_1519793201_n.jpg,1014864102734584760_1323054757,3824,173,149,26.825503355704697
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11350893_463143900519422_229111124_n.jpg,1014636331139750869_1323054757,4002,97,91,45.043956043956044
https://scontent.cdninstagram.com/hphotos-xpa1/t51.2885-15/e15/923803_963128717086347_1618530998_n.jpg,1011561515524447111_1323054757,4788,122,104,47.21153846153846
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11357349_968354143198596_1622146863_n.jpg,1008590676294261395_1323054757,3813,509,157,27.528662420382165
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11358066_705492489554870_1047299460_n.jpg,1007205750063913161_1323054757,4358,83,77,57.675324675324674
https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11312267_1606567792946791_265838094_n.jpg,1006819234993035488_1323054757,2181,44,39,57.05128205128205
https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11326595_769114773207408_873586435_n.jpg,1005846428809583569_1323054757,1927,16,7,277.57142857142856
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11326855_767805996673454_877169721_n.jpg,1005677718610270599_1323054757,2850,805,182,20.082417582417584
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11325162_773064846125122_1140478977_n.jpg,1004594863553534170_1323054757,3086,78,59,53.6271186440678
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11376610_951102898273177_796719695_n.jpg,1002495027173808666_1323054757,1777,86,69,27.0
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11378595_402973289906227_42855656_n.jpg,1002207861835192430_1323054757,3407,72,65,53.52307692307692
https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11374025_1439496236354802_129063683_n.jpg,1001400071642306652_1323054757,3200,55,49,66.42857142857143
https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11377763_902719506441374_238392282_n.jpg,1001082464506632691_1323054757,2088,58,64,33.53125
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11312323_451700555014335_873317369_n.jpg,1000939947651914474_1323054757,2735,65,67,41.791044776119406
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11325093_568351163306637_1617801436_n.jpg,1000769199608060365_1323054757,3642,110,109,34.42201834862385
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11377569_1589653164617465_217171743_n.jpg,999858803401448263_1323054757,3171,73,72,45.05555555555556
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11356998_1628671234042567_37562243_n.jpg,999492847147834212_1323054757,5207,202,140,38.635714285714286
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11376397_500976296718381_474266846_n.jpg,998613366786906197_1323054757,3032,87,70,44.55714285714286
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11351619_1126472154036103_1749326597_n.jpg,997263315187685791_1323054757,2654,46,33,81.81818181818181
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11330605_1227678503927877_2013683647_n.jpg,997199480716155002_1323054757,3495,123,100,36.18
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11235901_851216258267694_258457847_n.jpg,996361365973785497_1323054757,3317,75,78,43.48717948717949
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11324245_681853178611003_917771618_n.jpg,995904193313790232_1323054757,4184,106,88,48.75
https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11375363_1595057087443023_1016017067_n.jpg,995073145084467273_1323054757,4052,186,157,26.993630573248407
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11254327_716107271831753_768860404_n.jpg,994453920062003434_1323054757,2563,15,9,286.44444444444446
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11378974_1453695704941396_2044300539_n.jpg,993639545575201053_1323054757,1214,23,22,56.22727272727273
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11326356_618878904914812_1443304877_n.jpg,992887459262650431_1323054757,1512,5,3,505.6666666666667
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11313642_801274116630006_771107152_n.jpg,991404382367669081_1323054757,2529,40,31,82.87096774193549
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11357820_849569041776152_2078065956_n.jpg,990595652138982078_1323054757,3892,130,128,31.421875
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11355784_893130050744020_1629682710_n.jpg,990566953503054684_1323054757,2330,33,23,102.73913043478261
https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11330798_1635632693317986_803581364_n.jpg,989851413620874054_1323054757,2668,66,66,41.42424242424242
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11280415_764882876960857_1173044471_n.jpg,987696879792446335_1323054757,3264,75,74,45.12162162162162
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11260458_783787715069052_423843799_n.jpg,985705273937779039_1323054757,4269,90,82,53.15853658536585
