image url,id,likes,num comments,shares,likes + comment /shares
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11357367_720587778086701_1234316609_n.jpg,1017957709427019563_268624386,1392,35,13,109.76923076923077
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11379277_1016197528391406_545206708_n.jpg,1016874021406674335_268624386,1551,37,10,158.8
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11417292_1437993226524082_1633981716_n.jpg,1013862806648556966_268624386,1116,39,6,192.5
https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11379695_436439286535597_1591952231_n.jpg,1013138753461718681_268624386,1350,40,20,69.5
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11335102_951003311587536_409198051_n.jpg,1011870440827948247_268624386,1504,36,3,513.3333333333334
https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11266475_1610357949211941_1440254541_n.jpg,1010382759191153985_268624386,1524,59,15,105.53333333333333
https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11357786_1628482014061046_500210617_n.jpg,1008928045723323420_268624386,1217,45,28,45.07142857142857
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11356806_871236412913161_1296309050_n.jpg,1005624403679284254_268624386,1816,51,21,88.9047619047619
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11419027_375278419336318_846381482_n.jpg,1004523647425351133_268624386,1133,40,6,195.5
https://scontent.cdninstagram.com/hphotos-xft1/t51.2885-15/e15/1515605_725118687597743_1475165311_n.jpg,1003696253357559516_268624386,1874,114,65,30.584615384615386
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11379294_374231346105104_325359433_n.jpg,1002433726371892577_268624386,1249,49,17,76.3529411764706
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11311656_491190267700503_1023133363_n.jpg,1001803531499638512_268624386,1601,55,9,184.0
https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11417351_1407341766260141_997550206_n.jpg,1000889510550343587_268624386,1540,72,36,44.77777777777778
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11375893_860449910699468_45028110_n.jpg,1000397980374961721_268624386,1902,61,25,78.52
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11373801_921055861250528_1701088095_n.jpg,999374219697753126_268624386,1316,39,16,84.6875
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11280264_382313391978782_1651624929_n.jpg,998565357231050156_268624386,1078,17,12,91.25
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11254581_1454143131546426_1020138326_n.jpg,998190426156731826_268624386,1307,38,8,168.125
https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11325248_1583272925267579_275758257_n.jpg,997428543493541231_268624386,1809,83,30,63.06666666666667
https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11247749_366980653490692_237495643_n.jpg,996761163406806514_268624386,1937,110,48,42.645833333333336
https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11264519_376819122520583_698539691_n.jpg,995806462188227591_268624386,1563,46,12,134.08333333333334
https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11357912_942961209088996_575780254_n.jpg,995180352576457869_268624386,1497,34,1,1531.0
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11324416_789841897798002_435524878_n.jpg,994709213270019074_268624386,1378,32,23,61.30434782608695
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11376549_448410345320903_701307212_n.jpg,993887043904114386_268624386,1569,41,4,402.5
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11380947_384920455036103_55844032_n.jpg,993048957037088369_268624386,1375,30,11,127.72727272727273
https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11373722_485995091552477_826658208_n.jpg,992535987131551384_268624386,1426,50,12,123.0
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11333587_641816929285714_382496160_n.jpg,989455396068691221_268624386,1834,45,15,125.26666666666667
https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11313245_849336511805493_1474223026_n.jpg,987861893257661647_268624386,1252,55,25,52.28
https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11242853_397011770487142_1910709237_n.jpg,987219843998846286_268624386,1663,50,19,90.15789473684211
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11240310_965371830163240_1106059479_n.jpg,986588067563605997_268624386,1527,46,4,393.25
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11259253_1429214620730403_1999759480_n.jpg,985765745432760151_268624386,1674,46,3,573.3333333333334
https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11254295_637438336392984_1980242756_n.jpg,983884938887860140_268624386,1131,23,3,384.6666666666667
https://scontent.cdninstagram.com/hphotos-xpf1/t51.2885-15/e15/11202995_463715857129445_1081928933_n.jpg,978069348931636875_268624386,2970,91,53,57.75471698113208
https://scontent.cdninstagram.com/hphotos-xpt1/t51.2885-15/e15/11193089_1569433266672867_1633922449_n.jpg,973506840178757122_268624386,1560,52,18,89.55555555555556
