image url,id,likes,num comments,shares,likes + comment /shares
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11311369_487795934717021_164032508_n.jpg,1018209090011549326_1261998474,350,9,6,59.833333333333336
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11267049_704172746355439_1027842540_n.jpg,1017067178491792738_1261998474,664,9,0,0
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11355049_389986931211770_1156448594_n.jpg,1017064389279632657_1261998474,665,3,0,0
https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11376131_1415228002139772_413616233_n.jpg,1017058635223026827_1261998474,630,7,5,127.4
https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11380907_1601467150141595_12405295_n.jpg,1016178560906710836_1261998474,752,6,5,151.6
https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11377508_857835830932647_1001293225_n.jpg,1016177205139885841_1261998474,636,8,4,161.0
https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11325890_397825353744581_852207835_n.jpg,1016173874812178098_1261998474,680,10,6,115.0
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11374702_1429040604087468_1266091978_n.jpg,1015511767846374708_1261998474,707,11,1,718.0
https://scontent.cdninstagram.com/hphotos-xpf1/t51.2885-15/e15/10251401_1658539881044996_316421162_n.jpg,1014922941537079024_1261998474,738,6,1,744.0
https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11379707_1588280104772697_222107054_n.jpg,1014921169309421260_1261998474,687,8,2,347.5
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11381022_487795374720559_1218481034_n.jpg,1014915415194095227_1261998474,642,10,1,652.0
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11333343_1487072281583664_1055630518_n.jpg,1014558441302543845_1261998474,460,22,0,0
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11355145_1653017474934026_500781411_n.jpg,1012558134120959993_1261998474,749,22,3,257.0
https://scontent.cdninstagram.com/hphotos-xpa1/t51.2885-15/e15/927413_1605078896413066_540372162_n.jpg,1011945568084577363_1261998474,782,4,0,0
https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11330591_464563767047978_1066019495_n.jpg,1011944016460533747_1261998474,725,13,3,246.0
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11333466_1672819756282694_1136640765_n.jpg,1011941870780436217_1261998474,656,5,0,0
https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11333411_1500718873551565_1676856320_n.jpg,1011168757650181865_1261998474,944,37,3,327.0
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11372388_465871133581149_1516172625_n.jpg,1010352836958375282_1261998474,711,15,3,242.0
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11380806_1578555845738487_1314079470_n.jpg,1010349194717056264_1261998474,737,19,6,126.0
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11356779_1592824220986463_453605017_n.jpg,1010347686998985933_1261998474,645,15,5,132.0
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11311519_114491432219517_1858676477_n.jpg,1010343962826132585_1261998474,564,11,2,287.5
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11427289_393094220887434_530652306_n.jpg,1009602051114946097_1261998474,696,13,4,177.25
https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11379086_1641892919356841_1708009147_n.jpg,1009599236787293672_1261998474,629,10,0,0
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11378962_721241344664870_451347828_n.jpg,1009597892412198333_1261998474,578,7,1,585.0
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11357533_1118630214819153_317460704_n.jpg,1009594852665871719_1261998474,541,7,0,0
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11376412_112832809052580_1922201260_n.jpg,1008969685178666050_1261998474,673,8,2,340.5
https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11428199_1466623823630476_1912529255_n.jpg,1008968579300084790_1261998474,633,12,3,215.0
https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11378882_449416781906399_1699984205_n.jpg,1008967461769727006_1261998474,586,5,0,0
https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11325113_103227026686056_1445221132_n.jpg,1008147636415778174_1261998474,911,33,5,188.8
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11371974_1007702902582604_911266653_n.jpg,1006675520889703918_1261998474,769,56,4,206.25
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11429827_1428331964156809_895808385_n.jpg,1006441869501418888_1261998474,751,33,3,261.3333333333333
https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11383298_888182047928768_132039379_n.jpg,1005937019432882146_1261998474,740,27,5,153.4
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11410525_871290606277353_1422340347_n.jpg,1005934904597696414_1261998474,634,10,0,0
