image url,id,likes,num comments,shares,likes + comment /shares
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11427406_399104890287093_966838289_n.jpg,1018110374744538078_1550309717,196,5,1,201.0
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11327067_844264715649625_529202154_n.jpg,1018066355951876648_1550309717,182,13,3,65.0
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11380809_992926530726678_1015868772_n.jpg,1018065159300168207_1550309717,181,3,0,0
https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11355308_1615687018687604_847410084_n.jpg,1018064879691086340_1550309717,180,6,2,93.0
https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11374736_407607246097754_1610689272_n.jpg,1016160751305996722_1550309717,157,14,3,57.0
https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11325929_1615603968690771_1161557827_n.jpg,1016159386949237135_1550309717,199,15,6,35.666666666666664
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11417472_1641185926158690_345753673_n.jpg,1016118792344418502_1550309717,164,11,2,87.5
https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11350883_116656575337988_1531119201_n.jpg,1016113564362586128_1550309717,88,0,0,0
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11379268_1621679391447624_84330168_n.jpg,1015880735653476957_1550309717,159,25,17,10.823529411764707
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11379901_1679340928962901_879151304_n.jpg,1015059255210392508_1550309717,196,21,6,36.166666666666664
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11375775_1093323090682050_1837999437_n.jpg,1013791805344954549_1550309717,191,10,2,100.5
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11353068_775174649266189_1655367924_n.jpg,1013787842306488404_1550309717,177,4,0,0
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11312245_405573799627324_1195116251_n.jpg,1013744204272744492_1550309717,185,4,0,0
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11357595_939863629386134_1653622819_n.jpg,1013741234495798245_1550309717,196,16,9,23.555555555555557
https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11330531_809278522500640_116734691_n.jpg,1013739417984678847_1550309717,170,1,0,0
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11357836_434525473394316_247644017_n.jpg,1013738820262804397_1550309717,164,3,0,0
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11254000_997357116941548_2127571746_n.jpg,1012945157182044584_1550309717,196,14,5,42.0
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11356756_862640277150534_694077087_n.jpg,1010944238705818060_1550309717,229,15,4,61.0
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11373724_1667120616852267_948274475_n.jpg,1010804884213709648_1550309717,137,19,10,15.6
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11333328_929319167129488_452309064_n.jpg,1010295626997021044_1550309717,216,11,0,0
https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11379095_1455673118065944_1968954559_n.jpg,1010185777562892597_1550309717,209,18,26,8.73076923076923
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11335855_1442059012768828_1442200205_n.jpg,1010073390172190785_1550309717,236,10,3,82.0
https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11330639_1069900259705411_1013046803_n.jpg,1009414745587563039_1550309717,203,14,5,43.4
https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11376332_1412861302375159_1605787304_n.jpg,1009262650343405965_1550309717,240,8,0,0
https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11352038_1595399360724341_2037563419_n.jpg,1008769855803472439_1550309717,208,16,5,44.8
https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11311547_646093418863723_1506222509_n.jpg,1008769579273009712_1550309717,169,6,3,58.333333333333336
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11355186_1452496338401167_584870849_n.jpg,1008762353552570720_1550309717,167,10,2,88.5
https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11312234_847414222013990_1548995422_n.jpg,1008761830069877075_1550309717,159,1,0,0
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11421913_429246767255495_581733684_n.jpg,1008642402632186093_1550309717,176,6,0,0
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11349211_930800770318174_970548741_n.jpg,1008503602484460393_1550309717,171,9,2,90.0
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11419056_391537247702009_685130898_n.jpg,1007162451466762986_1550309717,212,21,15,15.533333333333333
https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11426429_1620684084876695_411440917_n.jpg,1006572984309758974_1550309717,200,6,0,0
https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11430218_895267383852553_1440727046_n.jpg,1005895414673160457_1550309717,96,3,0,0
